sido_cd,sido_nm_e,sgg_cd,sgg_nm_e,단지수,평균_취약도,최대_취약도,사각지대_단지수,mc_robust_단지수,평균_고령화율,평균_접근성_취약도,사각지대_비율
47.0,Gyeongsangbuk-do,47190.0,Gumi-si,4,0.2122,0.3025,0,1,0.2786,0.1277,0.0
48.0,Gyeongsangnam-do,48127.0,"Masanhoewon-gu, Changwon-si",2,0.2107,0.2848,0,0,0.4015,0.1007,0.0
48.0,Gyeongsangnam-do,48330.0,Yangsan-si,1,0.2106,0.2106,0,0,0.3413,0.2121,0.0
41.0,Gyeonggi-do,41273.0,"Danwon-gu, Ansan-si",7,0.209,0.2478,0,0,0.2386,0.0453,0.0
45.0,Jeollabuk-do,45111.0,"Wansan-gu, Jeonju-si",6,0.2074,0.2821,0,0,0.3644,0.0792,0.0
41.0,Gyeonggi-do,41430.0,Uiwang-si,2,0.2056,0.2174,0,0,0.1697,0.0845,0.0
41.0,Gyeonggi-do,41570.0,Gimpo-si,4,0.2035,0.2301,0,0,0.2979,0.1548,0.0
41.0,Gyeonggi-do,41111.0,"Jangan-gu, Suwon-si",1,0.2018,0.2018,0,0,0.3226,0.0666,0.0
44.0,Chungcheongnam-do,44133.0,"Seobuk-gu, Cheonan-si",4,0.2014,0.2747,0,0,0.3614,0.0566,0.0
29.0,Gwangju,29200.0,Gwangsan-gu,4,0.1994,0.2661,0,0,0.3002,0.0448,0.0
43.0,Chungcheongbuk-do,43730.0,Okcheon-gun,1,0.1989,0.1989,0,0,0.1934,0.2261,0.0
41.0,Gyeonggi-do,41450.0,Hanam-si,4,0.1966,0.2087,0,0,0.3208,0.1152,0.0
41.0,Gyeonggi-do,41650.0,Pocheon-si,1,0.1946,0.1946,0,0,0.2737,0.1437,0.0
30.0,Daejeon,30140.0,Jung-gu,2,0.1943,0.2716,0,0,0.449,0.057,0.0
47.0,Gyeongsangbuk-do,47280.0,Mungyeong-si,2,0.1917,0.2867,0,0,0.3875,0.0524,0.0
41.0,Gyeonggi-do,41390.0,Siheung-si,6,0.1911,0.2001,0,0,0.2657,0.1041,0.0
43.0,Chungcheongbuk-do,43740.0,Yeongdong-gun,1,0.1863,0.1863,0,0,0.2684,0.3831,0.0
41.0,Gyeonggi-do,41117.0,"Yeongtong-gu, Suwon-si",1,0.1812,0.1812,0,0,0.3634,0.0938,0.0
41.0,Gyeonggi-do,41463.0,"Giheung-gu, Yongin-si",1,0.1801,0.1801,0,0,0.3172,0.1099,0.0
43.0,Chungcheongbuk-do,43113.0,"Heungdeok-gu, Cheongju-si",3,0.1781,0.2197,0,0,0.2308,0.0909,0.0
11.0,Seoul,11620.0,Gwanak-gu,2,0.1781,0.222,0,0,0.4031,0.0864,0.0
41.0,Gyeonggi-do,41590.0,Hwaseong-si,3,0.1752,0.1776,0,0,0.2302,0.1174,0.0
28.0,Incheon,28260.0,Seo-gu,1,0.1744,0.1744,0,0,0.3301,0.0906,0.0
41.0,Gyeonggi-do,41461.0,"Cheoin-gu, Yongin-si",2,0.1707,0.1763,0,0,0.2597,0.0794,0.0
29.0,Gwangju,29155.0,Nam-gu,1,0.1646,0.1646,0,0,0.274,0.0342,0.0
46.0,Jellanam-do,46840.0,Muan-gun,1,0.1643,0.1643,0,0,0.1594,0.1151,0.0
27.0,Daegu,27710.0,Dalseong-gun,2,0.164,0.2112,0,0,0.3203,0.1027,0.0
41.0,Gyeonggi-do,41370.0,Osan-si,1,0.158,0.158,0,0,0.2277,0.0534,0.0
30.0,Daejeon,30200.0,Yuseong-gu,2,0.1351,0.1511,0,0,0.1682,0.1001,0.0
31.0,Ulsan,31710.0,Ulju-gun,1,0.1192,0.1192,0,0,0.3838,0.0262,0.0
